BU,Customer,RAC,Prism,PlanRevenue,Quarter,PlanCost
APAC,Unilever,Unilever,Unilever,0,Q4,0
US RMD,UniPro Foodservice,UniPro Foodservice,UniPro Foodservice,0.07,Q4,0.061208636
US TMTE,United Teachers Los Angeles,United Teachers Los Angeles,United Teachers Los Angeles,0,Q4,0
ANZ,Uniting Church,The Uniting Church in Australia Property Trust,UCA,0.019144176,Q4,0.008
US TMTE,University of Texas SouthWestern Medical Center,University of Texas SouthWestern Medical Center,University of Texas SouthWestern Medical Center,0,Q4,0
US RMD,Ventura Foods,"Ventura Foods, LLC",Ventura Foods,1.275,Q4,0.63203246
ANZ,Walz Group Pty Ltd,Walz Group Pty Ltd,Walz Group Pty Ltd,0,Q4,0
US HLS,Wavetec/Alcon,Wavetec/Alcon,Wavetec/Alcon,0,Q4,0
US RMD,Westway Feeds,Westway Feeds,Westway Feeds,0,Q4,0
EU,Widex,Widex A/S,Widex,0.446880432,Q4,0.212044202
US TMTE,Wolters Kluver,"Wolters Kluwer DXG U.S., Inc.",Wolters Kluver,0.15,Q4,0.072867423
US TMTE,World Vision Canada,World Vision Canada,World Vision Canada,0.107285722,Q4,0.054562003
ANZ,XL Express (WMH) Pty Ltd,XL Express (WMH) Pty Ltd,XL Express (WMH) Pty Ltd,0,Q4,0
US RMD,Zones,Zones LLC,Zones,0.55,Q4,0.352417359
US RMD,Zones,Zones LLC,Zones,0.55,Q4,0
US RMD,Zones,Zones LLC,Zones,0,Q4,0.352417359
US RMD,Zones,Zones LLC,Zones,0,Q4,0
US TMTE,Zuora Inc.,Zuora Inc.,Zuora,0.045,Q4,0.018362591
US RMD,"Outform Group, Inc","Outform Group, Inc",,0,Q4,0
US RMD,Tempur-Pedic,Tempur-Pedic,,0,Q4,0
US BFSI,Franklin Templeton,Franklin Templeton,,0,Q4,0
US HLS,"DirectMed Imaging, LLC","DirectMed Imaging, LLC",,0,Q4,0
US RMD,UniPro Foodservice Inc.,UniPro Foodservice Inc.,,0,Q4,0
UK IRELAND,The London Clinic,The London Clinic,,0,Q4,0
ANZ,Bluechip Infotech Pty Ltd,Bluechip Infotech Pty Ltd,,0,Q4,0
US BFSI,HDFC LIFE INSURANCE COMPANY LIMITED,HDFC LIFE INSURANCE COMPANY LIMITED,,0,Q4,0
US HLS,Prodigy Healthcare LLC,Prodigy Healthcare LLC,,0,Q4,0
Others,Others,Others,Others,0,Q4,0
US RMD,Zurn Industries,Zurn Water LLC_SSNA,Zurn Industries,0.3,Q4,0.102161035
